lsb-release 2.0.r48.3cf5103-1
lsof 4.98.0-1
luajit 2.1.0.beta3.r471.g224129a8-1
lvm2 2.03.21-1
ly 0.5.3-5
lz4 1:1.9.4-1
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.53-1
maim 5.7.4-5
make 4.4.1-2
man-db 2.11.2-1
md4c 0.4.8-1
mdadm 4.2-2
media-player-info 24-2
mesa 23.0.3-1
minizip 1:1.2.13-2
mkinitcpio 35.2-1
mkinitcpio-busybox 1.35.0-1
mlocate 0.26.git.20170220-7
mobile-broadband-provider-info 20230416-1
mpfr 4.2.0.p7-2
mpg123 1.31.3-1
mpv 1:0.35.1-6
msgpack-c 5.0.0-1
mtdev 1.1.6-2
mujs 1.3.3-1
nano 7.2-1
ncdu 2.2.2-2
ncurses 6.4-1
ndctl 76.1-1
nemo 5.6.5-1
neofetch 7.1.0-2
neovim 0.9.0-2
nettle 3.9-1
networkmanager 1.42.6-1
noto-fonts 20230501-1
noto-fonts-cjk 20220126-1
noto-fonts-extra 20230501-1
npth 1.6-4
nspr 4.35-1
nss 3.89.1-1
nvidia-utils 530.41.03-1
obsidian 1.2.8-1
ocl-icd 2.3.1-1
openal 1.23.1-1
opencore-amr 0.1.6-1
openexr 3.1.7-1
openjpeg2 2.5.0-2
openmpi 4.1.5-1
openpmix 4.2.3-2
openssh 9.3p1-1
openssl 3.0.8-1
opus 1.4-1
orc 0.4.33-1
p11-kit 0.24.1-1
pacman 6.0.2-6
pacman-contrib 1.9.0-1
pacman-mirrorlist 20230410-1
pam 1.5.3-1
pambase 20221020-1
pango 1:1.50.14-1
pangomm 2.46.3-1
parted 3.6-1
patch 2.7.6-9
pavucontrol 1:5.0+r61+gee77d86-2
pciutils 3.10.0-1
pcre 8.45-3
pcre2 10.42-2
pcsclite 1.9.9-3
perl 5.36.1-1
perl-error 0.17029-4
perl-mailtools 2.21-6
perl-timedate 2.33-4
phonon-qt5 4.11.1-3
phonon-qt5-gstreamer 4.10.0-4
picom 10.2-1
pinentry 1.2.1-1
pixman 0.42.2-1
pkgconf 1.8.1-1
pkgfile 21-2
polkit 122-1
polkit-qt5 0.114.0-1
poppler 23.05.0-1
poppler-glib 23.05.0-1
